| 1    | Clefable           | 56.53422% | 897975 | 28.965% | 710465 | 29.071% | 
| 2    | Corviknight        | 31.22480% | 729847 | 23.542% | 581333 | 23.787% | 
| 3    | Toxapex            | 28.25718% | 377499 | 12.176% | 307096 | 12.566% | 
| 4    | Hippowdon          | 25.68515% | 272987 |  8.805% | 238401 |  9.755% | 
| 5    | Ferrothorn         | 25.17680% | 648870 | 20.930% | 563798 | 23.070% | 
| 6    | Dragapult          | 25.15101% | 855729 | 27.602% | 638340 | 26.120% | 
| 7    | Zeraora            | 24.48428% | 738971 | 23.836% | 568220 | 23.251% | 
| 8    | Excadrill          | 23.88469% | 650927 | 20.996% | 511858 | 20.944% | 
| 9    | Seismitoad         | 22.56898% | 670751 | 21.635% | 579165 | 23.698% | 
| 10   | Rotom-Heat         | 21.28420% | 435149 | 14.036% | 365826 | 14.969% | 
| 11   | Hydreigon          | 20.92392% | 406185 | 13.102% | 312166 | 12.773% | 
| 12   | Aegislash          | 17.86139% | 387661 | 12.504% | 302273 | 12.368% | 
| 13   | Melmetal           | 16.27880% | 189746 |  6.120% | 159452 |  6.524% | 
| 14   | Kyurem             | 15.80296% | 291216 |  9.393% | 222480 |  9.103% | 
| 15   | Dracovish          | 15.58086% | 514986 | 16.611% | 398481 | 16.305% | 
| 16   | Bisharp            | 14.30810% | 370928 | 11.964% | 274707 | 11.241% | 
| 17   | Mandibuzz          | 13.47561% | 288637 |  9.310% | 223583 |  9.149% | 
| 18   | Kommo-o            | 13.31267% | 253754 |  8.185% | 200626 |  8.209% | 
| 19   | Tyranitar          |  9.02628% | 304346 |  9.817% | 246124 | 10.071% | 
| 20   | Mew                |  8.73222% | 206303 |  6.654% | 172844 |  7.072% | 
| 21   | Conkeldurr         |  8.36710% | 441659 | 14.246% | 352700 | 14.432% | 
| 22   | Togekiss           |  7.77488% | 340456 | 10.982% | 263085 | 10.765% | 
| 23   | Terrakion          |  7.38838% | 140692 |  4.538% | 109689 |  4.488% | 
| 24   | Cinderace          |  6.76959% | 529384 | 17.076% | 414321 | 16.953% | 
| 25   | Cloyster           |  6.75745% | 277348 |  8.946% | 202241 |  8.275% | 
| 26   | Jirachi            |  6.32025% | 175680 |  5.667% | 141498 |  5.790% | 
| 27   | Gengar             |  5.73664% | 316778 | 10.218% | 235622 |  9.641% | 
| 28   | Pelipper           |  5.51101% | 187233 |  6.039% | 168640 |  6.900% | 
| 29   | Hawlucha           |  4.95960% | 202884 |  6.544% | 145389 |  5.949% | 
| 30   | Darmanitan         |  4.88988% | 138674 |  4.473% | 109328 |  4.473% | 
| 31   | Hatterene          |  4.78415% | 249374 |  8.044% | 199933 |  8.181% | 
| 32   | Grimmsnarl         |  4.76801% | 243178 |  7.844% | 198948 |  8.141% | 
| 33   | Primarina          |  4.61244% | 76179  |  2.457% | 62292  |  2.549% | 
| 34   | Mimikyu            |  4.57191% | 185395 |  5.980% | 136231 |  5.574% | 
| 35   | Keldeo             |  4.54024% | 151906 |  4.900% | 117165 |  4.794% | 
| 36   | Necrozma           |  3.69048% | 46632  |  1.504% | 35528  |  1.454% | 
| 37   | Snorlax            |  3.66445% | 57564  |  1.857% | 44554  |  1.823% | 
| 38   | Ditto              |  3.48548% | 175595 |  5.664% | 125561 |  5.138% | 
| 39   | Reuniclus          |  3.45808% | 46129  |  1.488% | 34229  |  1.401% | 
| 40   | Gyarados           |  3.42311% | 169098 |  5.454% | 131079 |  5.364% | 
| 41   | Ninetales-Alola    |  2.94035% | 98707  |  3.184% | 83097  |  3.400% | 
| 42   | Salazzle           |  2.34116% | 69049  |  2.227% | 54480  |  2.229% | 
| 43   | Mamoswine          |  2.32177% | 91808  |  2.961% | 73963  |  3.026% | 
| 44   | Toxtricity         |  2.11664% | 117999 |  3.806% | 89248  |  3.652% | 
| 45   | Diggersby          |  2.10618% | 50680  |  1.635% | 40100  |  1.641% | 
| 46   | Incineroar         |  2.10371% | 93375  |  3.012% | 79967  |  3.272% | 
| 47   | Quagsire           |  2.07714% | 27108  |  0.874% | 21006  |  0.860% | 
| 48   | Crawdaunt          |  1.95523% | 111941 |  3.611% | 88241  |  3.611% | 
| 49   | Mantine            |  1.92495% | 38312  |  1.236% | 30487  |  1.247% | 
| 50   | Venusaur           |  1.85513% | 128914 |  4.158% | 103523 |  4.236% | 
| 51   | Obstagoon          |  1.82258% | 101077 |  3.260% | 77264  |  3.161% | 
| 52   | Torkoal            |  1.66798% | 129092 |  4.164% | 119662 |  4.896% | 
| 53   | Bewear             |  1.65862% | 18087  |  0.583% | 13808  |  0.565% | 
| 54   | Gastrodon          |  1.55418% | 68680  |  2.215% | 54639  |  2.236% | 
| 55   | Chandelure         |  1.53229% | 115228 |  3.717% | 90451  |  3.701% | 
| 56   | Vaporeon           |  1.46355% | 49031  |  1.582% | 39007  |  1.596% | 
| 57   | Shuckle            |  1.38752% | 63043  |  2.033% | 57507  |  2.353% | 
| 58   | Celebi             |  1.27989% | 37025  |  1.194% | 29277  |  1.198% | 
| 59   | Sylveon            |  1.24076% | 87337  |  2.817% | 65601  |  2.684% | 
| 60   | Rotom-Wash         |  1.16569% | 139747 |  4.508% | 117676 |  4.815% | 
| 61   | Ribombee           |  1.13485% | 53556  |  1.727% | 45888  |  1.878% | 
| 62   | Charizard          |  1.10724% | 83681  |  2.699% | 62909  |  2.574% | 
| 63   | Gardevoir          |  1.07400% | 68164  |  2.199% | 50128  |  2.051% | 
| 64   | Rhyperior          |  0.99389% | 33965  |  1.096% | 26757  |  1.095% | 
| 65   | Arcanine           |  0.92148% | 91584  |  2.954% | 74205  |  3.036% | 
| 66   | Sirfetch'd         |  0.89271% | 48743  |  1.572% | 38492  |  1.575% | 
| 67   | Heliolisk          |  0.87003% | 45484  |  1.467% | 34247  |  1.401% | 
| 68   | Clefairy           |  0.83226% | 4796   |  0.155% | 3645   |  0.149% | 
| 69   | Froslass           |  0.82104% | 9821   |  0.317% | 8379   |  0.343% | 
| 70   | Jellicent          |  0.77838% | 37397  |  1.206% | 30095  |  1.231% | 
| 71   | Weavile            |  0.71192% | 85494  |  2.758% | 63963  |  2.617% | 
| 72   | Whimsicott         |  0.66863% | 39146  |  1.263% | 31297  |  1.281% | 
| 73   | Rotom-Mow          |  0.66239% | 56311  |  1.816% | 45992  |  1.882% | 
| 74   | Sandaconda         |  0.56942% | 17458  |  0.563% | 14559  |  0.596% | 
| 75   | Weezing-Galar      |  0.55919% | 58524  |  1.888% | 47735  |  1.953% | 
| 76   | Ninetales          |  0.53953% | 34534  |  1.114% | 28240  |  1.156% | 
| 77   | Vikavolt           |  0.53526% | 39312  |  1.268% | 33275  |  1.362% | 
| 78   | Espeon             |  0.52719% | 60983  |  1.967% | 45726  |  1.871% | 
| 79   | Umbreon            |  0.49132% | 43902  |  1.416% | 32625  |  1.335% | 
| 80   | Barraskewda        |  0.49006% | 53056  |  1.711% | 38459  |  1.574% | 
| 81   | Dracozolt          |  0.47905% | 45678  |  1.473% | 34730  |  1.421% | 
| 82   | Flygon             |  0.42529% | 53042  |  1.711% | 41772  |  1.709% | 
| 83   | Araquanid          |  0.42085% | 40574  |  1.309% | 34707  |  1.420% | 
| 84   | Xatu               |  0.37584% | 29594  |  0.955% | 23000  |  0.941% | 
| 85   | Roserade           |  0.37039% | 29942  |  0.966% | 23183  |  0.949% | 
| 86   | Golisopod          |  0.35622% | 29453  |  0.950% | 23030  |  0.942% | 
| 87   | Indeedee           |  0.35388% | 17402  |  0.561% | 13886  |  0.568% | 
| 88   | Durant             |  0.34993% | 38992  |  1.258% | 30050  |  1.230% | 
| 89   | Gigalith           |  0.33666% | 19137  |  0.617% | 15803  |  0.647% | 
| 90   | Sableye            |  0.32167% | 20050  |  0.647% | 16023  |  0.656% | 
| 91   | Cobalion           |  0.31858% | 16852  |  0.544% | 13901  |  0.569% | 
| 92   | Galvantula         |  0.28186% | 52929  |  1.707% | 47067  |  1.926% | 
| 93   | Runerigus          |  0.27206% | 28471  |  0.918% | 24638  |  1.008% | 
| 94   | Sigilyph           |  0.27193% | 20736  |  0.669% | 15871  |  0.649% | 
| 95   | Steelix            |  0.26853% | 15810  |  0.510% | 13023  |  0.533% | 
| 96   | Corsola-Galar      |  0.25533% | 64223  |  2.072% | 50235  |  2.056% | 
| 97   | Slurpuff           |  0.25410% | 28494  |  0.919% | 20955  |  0.857% | 
| 98   | Lucario            |  0.24285% | 55422  |  1.788% | 40629  |  1.662% | 
| 99   | Haxorus            |  0.23869% | 63927  |  2.062% | 45845  |  1.876% | 
| 100  | Blastoise          |  0.23498% | 50514  |  1.629% | 37654  |  1.541% | 
| 101  | Polteageist        |  0.22208% | 51413  |  1.658% | 37210  |  1.523% | 
| 102  | Bronzong           |  0.20236% | 25317  |  0.817% | 21848  |  0.894% | 
| 103  | Milotic            |  0.19777% | 49007  |  1.581% | 37983  |  1.554% | 
| 104  | Decidueye          |  0.18341% | 15182  |  0.490% | 11467  |  0.469% | 
| 105  | Goodra             |  0.18145% | 45499  |  1.468% | 33833  |  1.384% | 
| 106  | Toxicroak          |  0.16662% | 29231  |  0.943% | 22021  |  0.901% | 
| 107  | Barbaracle         |  0.16297% | 12087  |  0.390% | 8385   |  0.343% | 
| 108  | Shedinja           |  0.15258% | 10280  |  0.332% | 6964   |  0.285% | 
| 109  | Stunfisk           |  0.14502% | 5211   |  0.168% | 4399   |  0.180% | 
| 110  | Accelgor           |  0.14065% | 20313  |  0.655% | 17266  |  0.706% | 
| 111  | Appletun           |  0.13683% | 15506  |  0.500% | 11475  |  0.470% | 
| 112  | Noivern            |  0.13636% | 27610  |  0.891% | 21130  |  0.865% | 
| 113  | Copperajah         |  0.12088% | 22241  |  0.717% | 18011  |  0.737% | 
